Day,Market Participant,Equity Option Contracts,Equity Option Trade Count,Equity Option Notional,Index/Other Option Contracts,Index/Other Option Trade Count,Index/Other Option Notional,Total Option Contracts,Total Trade Count,Total Option Notional
2025-04-28,MIAX Sapphire (S),1539807,215924,414971550.000000,0,0,0.000000,1539807,215924,414971550.000000
2025-04-28,Nasdaq BX Options (T),744055,81529,171596796.000000,0,0,0.000000,744055,81529,171596796.000000
2025-04-28,Members Exchange (U),1472087,200946,374307425.000000,0,0,0.000000,1472087,200946,374307425.000000
2025-04-28,Cboe C2 Options Exchange (W),1302062,166777,315557180.000000,9083,2756,20286259.000000,1311145,169533,335843439.000000
2025-04-28,Nasdaq PHLX (X),3989699,416398,1489105173.000000,32151,13989,227914293.000000,4021850,430387,1717019466.000000
2025-04-28,Cboe BZX Options Exchange (Z),1579488,218921,554229172.000000,1432,385,5319339.000000,1580920,219306,559548511.000000
2025-04-25,NYSE American Options (A),2500622,308891,832058879.000000,0,0,0.000000,2500622,308891,832058879.000000
2025-04-25,BOX Options (B),4046354,502165,1135949774.000000,0,0,0.000000,4046354,502165,1135949774.000000
2025-04-25,Cboe Options Exchange (C),5590119,877340,2066478215.000000,4296672,1008956,10232924674.000000,9886791,1886296,12299402889.000000
2025-04-25,MIAX Emerald (D),2385262,382510,762279681.000000,0,0,0.000000,2385262,382510,762279681.000000
2025-04-25,Cboe EDGX Options Exchange (E),4749121,608153,1108428592.000000,0,0,0.000000,4749121,608153,1108428592.000000
2025-04-25,Nasdaq GEMX (H),3005353,386788,670925632.000000,170,113,7606275.000000,3005523,386901,678531907.000000
2025-04-25,Nasdaq ISE (I),3950481,577545,1563661703.500000,29094,10827,175105800.000000,3979575,588372,1738767503.500000
2025-04-25,Nasdaq MRX (J),1987873,258976,419270292.000000,0,0,0.000000,1987873,258976,419270292.000000
2025-04-25,MIAX Options Exchange (M),4251225,665408,1296911213.000000,0,0,0.000000,4251225,665408,1296911213.000000
2025-04-25,NYSE Arca Options (N),6403938,861763,2384646401.000000,1,1,300.000000,6403939,861764,2384646701.000000
2025-04-25,MIAX Pearl (P),1355633,172921,276959564.000000,0,0,0.000000,1355633,172921,276959564.000000
2025-04-25,NASDAQ Options Market (Q),2623955,374494,792012427.500000,0,0,0.000000,2623955,374494,792012427.500000
2025-04-25,MIAX Sapphire (S),1992828,283204,551740584.000000,0,0,0.000000,1992828,283204,551740584.000000
2025-04-25,Nasdaq BX Options (T),977830,103438,169927552.000000,0,0,0.000000,977830,103438,169927552.000000
2025-04-25,Members Exchange (U),2064782,252673,434986361.000000,0,0,0.000000,2064782,252673,434986361.000000
2025-04-25,Cboe C2 Options Exchange (W),1863473,232625,563170187.000000,11514,2977,22782411.000000,1874987,235602,585952598.000000
2025-04-25,Nasdaq PHLX (X),5153487,483421,1914992070.000000,29392,12934,245405883.000000,5182879,496355,2160397953.000000
2025-04-25,Cboe BZX Options Exchange (Z),2235930,292562,629746736.000000,1145,285,4446012.000000,2237075,292847,634192748.000000
2025-04-24,NYSE American Options (A),2513204,274925,671564079.000000,0,0,0.000000,2513204,274925,671564079.000000
2025-04-24,BOX Options (B),3506027,425649,1566669607.000000,0,0,0.000000,3506027,425649,1566669607.000000
2025-04-24,Cboe Options Exchange (C),4972030,761689,2609018130.000000,4261021,999458,12034735706.000000,9233051,1761147,14643753836.000000
2025-04-24,MIAX Emerald (D),1794003,292703,572371135.000000,0,0,0.000000,1794003,292703,572371135.000000
2025-04-24,Cboe EDGX Options Exchange (E),3614628,553689,870082486.000000,0,0,0.000000,3614628,553689,870082486.000000
2025-04-24,Nasdaq GEMX (H),2634894,371565,667362365.000000,217,161,8866437.000000,2635111,371726,676228802.000000
2025-04-24,Nasdaq ISE (I),2916789,484085,1123699280.000000,23452,10576,170693075.000000,2940241,494661,1294392355.000000
2025-04-24,Nasdaq MRX (J),1662695,235884,370903707.000000,0,0,0.000000,1662695,235884,370903707.000000
2025-04-24,MIAX Options Exchange (M),3245944,544018,930561792.000000,0,0,0.000000,3245944,544018,930561792.000000
2025-04-24,NYSE Arca Options (N),5487371,691832,2050954363.000000,0,0,0.000000,5487371,691832,2050954363.000000
2025-04-24,MIAX Pearl (P),1272809,175080,298163901.000000,0,0,0.000000,1272809,175080,298163901.000000
2025-04-24,NASDAQ Options Market (Q),2200919,310575,690893862.000000,0,0,0.000000,2200919,310575,690893862.000000
2025-04-24,MIAX Sapphire (S),1745248,235473,493423044.000000,0,0,0.000000,1745248,235473,493423044.000000
2025-04-24,Nasdaq BX Options (T),784316,87605,149609881.000000,0,0,0.000000,784316,87605,149609881.000000
2025-04-24,Members Exchange (U),1654430,223165,405938908.000000,0,0,0.000000,1654430,223165,405938908.000000
2025-04-24,Cboe C2 Options Exchange (W),1406531,176443,380710804.000000,8876,2395,19773895.000000,1415407,178838,400484699.000000
2025-04-24,Nasdaq PHLX (X),4369384,419367,2124344238.000000,26140,13280,240495684.000000,4395524,432647,2364839922.000000
2025-04-24,Cboe BZX Options Exchange (Z),1873384,246914,560987409.000000,1318,443,4438188.000000,1874702,247357,565425597.000000
2025-04-23,NYSE American Options (A),2315043,287585,777309091.000000,0,0,0.000000,2315043,287585,777309091.000000
2025-04-23,BOX Options (B),3695746,415589,1484538759.500000,0,0,0.000000,3695746,415589,1484538759.500000
2025-04-23,Cboe Options Exchange (C),5787261,965651,2512688625.000000,4643167,1021003,13871123402.000000,10430428,1986654,16383812027.000000
2025-04-23,MIAX Emerald (D),2216841,346891,738470507.000000,0,0,0.000000,2216841,346891,738470507.000000
2025-04-23,Cboe EDGX Options Exchange (E),3952533,606453,1142547689.000000,0,0,0.000000,3952533,606453,1142547689.000000
2025-04-23,Nasdaq GEMX (H),3172776,424966,864262173.000000,240,151,8221079.000000,3173016,425117,872483252.000000
2025-04-23,Nasdaq ISE (I),3650484,540445,1371437147.000000,24290,12292,302759034.000000,3674774,552737,1674196181.000000
2025-04-23,Nasdaq MRX (J),1866322,248413,465366476.000000,0,0,0.000000,1866322,248413,465366476.000000
2025-04-23,MIAX Options Exchange (M),3999314,636790,1281754699.000000,0,0,0.000000,3999314,636790,1281754699.000000
2025-04-23,NYSE Arca Options (N),7056651,853715,2572825407.000000,0,0,0.000000,7056651,853715,2572825407.000000
2025-04-23,MIAX Pearl (P),1541337,205400,414341519.000000,0,0,0.000000,1541337,205400,414341519.000000
2025-04-23,NASDAQ Options Market (Q),2840902,396782,920250686.300000,0,0,0.000000,2840902,396782,920250686.300000
2025-04-23,MIAX Sapphire (S),1912720,261170,565855995.000000,0,0,0.000000,1912720,261170,565855995.000000
2025-04-23,Nasdaq BX Options (T),899845,98656,196200985.000000,0,0,0.000000,899845,98656,196200985.000000
2025-04-23,Members Exchange (U),1977066,256343,500371923.000000,0,0,0.000000,1977066,256343,500371923.000000
2025-04-23,Cboe C2 Options Exchange (W),1599138,184809,415014504.000000,14681,3768,46148961.000000,1613819,188577,461163465.000000
2025-04-23,Nasdaq PHLX (X),3930354,366266,1377651027.500000,26244,13373,300836951.000000,3956598,379639,1678487978.500000
2025-04-23,Cboe BZX Options Exchange (Z),2274970,303797,711077705.000000,3070,786,17416687.000000,2278040,304583,728494392.000000
2025-04-22,NYSE American Options (A),2492295,283324,1015051876.000000,0,0,0.000000,2492295,283324,1015051876.000000
2025-04-22,BOX Options (B),3142129,374976,1659475881.000000,0,0,0.000000,3142129,374976,1659475881.000000
2025-04-22,Cboe Options Exchange (C),4878465,868624,1895297580.000000,4276785,1009984,12876752686.000000,9155250,1878608,14772050266.000000
2025-04-22,MIAX Emerald (D),1769326,304342,610030111.000000,0,0,0.000000,1769326,304342,610030111.000000
2025-04-22,Cboe EDGX Options Exchange (E),3618351,554106,1051005849.000000,0,0,0.000000,3618351,554106,1051005849.000000
2025-04-22,Nasdaq GEMX (H),2297608,291050,574358388.000000,287,198,11480270.000000,2297895,291248,585838658.000000
2025-04-22,Nasdaq ISE (I),2878722,458750,1278436477.000000,20223,9080,249423388.000000,2898945,467830,1527859865.000000
2025-04-22,Nasdaq MRX (J),1300121,185655,342600256.000000,0,0,0.000000,1300121,185655,342600256.000000
2025-04-22,MIAX Options Exchange (M),3335578,590916,1192338516.000000,0,0,0.000000,3335578,590916,1192338516.000000
2025-04-22,NYSE Arca Options (N),5758980,806547,2561627514.000000,0,0,0.000000,5758980,806547,2561627514.000000
2025-04-22,MIAX Pearl (P),1296268,181192,348295327.000000,0,0,0.000000,1296268,181192,348295327.000000
2025-04-22,NASDAQ Options Market (Q),2326127,348763,780176504.000000,0,0,0.000000,2326127,348763,780176504.000000
2025-04-22,MIAX Sapphire (S),1702652,237731,488882973.000000,0,0,0.000000,1702652,237731,488882973.000000
2025-04-22,Nasdaq BX Options (T),810734,88520,169171504.000000,0,0,0.000000,810734,88520,169171504.000000
2025-04-22,Members Exchange (U),1661201,224771,435554707.000000,0,0,0.000000,1661201,224771,435554707.000000
2025-04-22,Cboe C2 Options Exchange (W),1290975,160370,428080126.000000,9760,2676,24987354.000000,1300735,163046,453067480.000000
2025-04-22,Nasdaq PHLX (X),3491315,335322,1714818826.000000,25455,13144,317745994.000000,3516770,348466,2032564820.000000
2025-04-22,Cboe BZX Options Exchange (Z),1889319,260034,607217133.000000,2263,604,15231065.000000,1891582,260638,622448198.000000
