Day,Market Participant,Equity Option Contracts,Equity Option Trade Count,Equity Option Notional,Index/Other Option Contracts,Index/Other Option Trade Count,Index/Other Option Notional,Total Option Contracts,Total Trade Count,Total Option Notional
2025-05-28,Cboe BZX Options Exchange (Z),1594186,230065,565537693.000000,1434,519,3734373.000000,1595620,230584,569272066.000000
2025-05-27,NYSE American Options (A),2334523,298795,711692078.000000,0,0,0.000000,2334523,298795,711692078.000000
2025-05-27,BOX Options (B),3257285,364305,1770655689.000000,0,0,0.000000,3257285,364305,1770655689.000000
2025-05-27,Cboe Options Exchange (C),4801630,847952,1947542339.000000,4071272,887619,8691074932.000000,8872902,1735571,10638617271.000000
2025-05-27,MIAX Emerald (D),1126007,217831,375779019.000000,0,0,0.000000,1126007,217831,375779019.000000
2025-05-27,Cboe EDGX Options Exchange (E),2585982,453656,784763501.000000,0,0,0.000000,2585982,453656,784763501.000000
2025-05-27,Nasdaq GEMX (H),1836055,222285,501996680.000000,146,99,4656990.000000,1836201,222384,506653670.000000
2025-05-27,Nasdaq ISE (I),3039895,435638,1281570309.500000,31687,10926,158945148.000000,3071582,446564,1440515457.500000
2025-05-27,Nasdaq MRX (J),1470345,218667,468772102.000000,0,0,0.000000,1470345,218667,468772102.000000
2025-05-27,MIAX Options Exchange (M),4344689,693817,1296271151.000000,0,0,0.000000,4344689,693817,1296271151.000000
2025-05-27,NYSE Arca Options (N),4749072,636676,1986887985.000000,0,0,0.000000,4749072,636676,1986887985.000000
2025-05-27,MIAX Pearl (P),1394598,210757,398509051.000000,0,0,0.000000,1394598,210757,398509051.000000
2025-05-27,NASDAQ Options Market (Q),2062998,292245,739483067.000000,0,0,0.000000,2062998,292245,739483067.000000
2025-05-27,MIAX Sapphire (S),1608555,245471,498497779.000000,0,0,0.000000,1608555,245471,498497779.000000
2025-05-27,Nasdaq BX Options (T),766482,87327,185643076.000000,0,0,0.000000,766482,87327,185643076.000000
2025-05-27,Members Exchange (U),1635165,242278,462508556.000000,0,0,0.000000,1635165,242278,462508556.000000
2025-05-27,Cboe C2 Options Exchange (W),1388928,182160,373558489.000000,15316,3193,125038188.000000,1404244,185353,498596677.000000
2025-05-27,Nasdaq PHLX (X),4161501,424813,1894275325.700000,38069,14674,187738437.000000,4199570,439487,2082013762.700000
2025-05-27,Cboe BZX Options Exchange (Z),1800804,257521,650288561.000000,1015,310,3682248.000000,1801819,257831,653970809.000000
2025-05-23,NYSE American Options (A),2777593,304018,845621150.000000,0,0,0.000000,2777593,304018,845621150.000000
2025-05-23,BOX Options (B),3384320,394160,1283372766.000000,0,0,0.000000,3384320,394160,1283372766.000000
2025-05-23,Cboe Options Exchange (C),5571582,895406,1897529116.000000,4051318,961416,8333459657.000000,9622900,1856822,10230988773.000000
2025-05-23,MIAX Emerald (D),1331024,238520,360166391.000000,0,0,0.000000,1331024,238520,360166391.000000
2025-05-23,Cboe EDGX Options Exchange (E),3243182,474699,818597191.000000,0,0,0.000000,3243182,474699,818597191.000000
2025-05-23,Nasdaq GEMX (H),2057099,250196,464440075.000000,292,136,7742461.000000,2057391,250332,472182536.000000
2025-05-23,Nasdaq ISE (I),3565475,505224,1169353624.000000,24106,11917,141617107.000000,3589581,517141,1310970731.000000
2025-05-23,Nasdaq MRX (J),1572474,208198,418084055.000000,0,0,0.000000,1572474,208198,418084055.000000
2025-05-23,MIAX Options Exchange (M),4925739,782147,1318126857.000000,0,0,0.000000,4925739,782147,1318126857.000000
2025-05-23,NYSE Arca Options (N),5303686,687974,1855281323.000000,0,0,0.000000,5303686,687974,1855281323.000000
2025-05-23,MIAX Pearl (P),1566885,226995,369952745.000000,0,0,0.000000,1566885,226995,369952745.000000
2025-05-23,NASDAQ Options Market (Q),2277213,325291,673211718.000000,0,0,0.000000,2277213,325291,673211718.000000
2025-05-23,MIAX Sapphire (S),1740849,261963,432953327.000000,0,0,0.000000,1740849,261963,432953327.000000
2025-05-23,Nasdaq BX Options (T),840788,92409,155046790.000000,0,0,0.000000,840788,92409,155046790.000000
2025-05-23,Members Exchange (U),1922879,259924,417881484.000000,0,0,0.000000,1922879,259924,417881484.000000
2025-05-23,Cboe C2 Options Exchange (W),1656533,207966,371871784.500000,11985,3157,27857542.000000,1668518,211123,399729326.500000
2025-05-23,Nasdaq PHLX (X),4756523,437202,2179068909.000000,32283,14272,197505313.000000,4788806,451474,2376574222.000000
2025-05-23,Cboe BZX Options Exchange (Z),2030870,276724,570392419.000000,1169,277,3783754.000000,2032039,277001,574176173.000000
2025-05-22,NYSE American Options (A),2670981,288269,883438633.000000,0,0,0.000000,2670981,288269,883438633.000000
2025-05-22,BOX Options (B),3950224,376194,2480942093.000000,0,0,0.000000,3950224,376194,2480942093.000000
2025-05-22,Cboe Options Exchange (C),5624203,837662,3722003776.000000,3995674,954607,9965675953.000000,9619877,1792269,13687679729.000000
2025-05-22,MIAX Emerald (D),1767845,302855,511429084.000000,0,0,0.000000,1767845,302855,511429084.000000
2025-05-22,Cboe EDGX Options Exchange (E),3032916,459531,679025803.000000,0,0,0.000000,3032916,459531,679025803.000000
2025-05-22,Nasdaq GEMX (H),2172498,267783,477281125.000000,104,53,4733555.000000,2172602,267836,482014680.000000
2025-05-22,Nasdaq ISE (I),3037779,431698,1009454038.000000,35043,12467,131882670.000000,3072822,444165,1141336708.000000
2025-05-22,Nasdaq MRX (J),1508312,203013,375743360.000000,0,0,0.000000,1508312,203013,375743360.000000
2025-05-22,MIAX Options Exchange (M),4633629,734333,1180344588.000000,0,0,0.000000,4633629,734333,1180344588.000000
2025-05-22,NYSE Arca Options (N),5210384,652505,1743830683.000000,0,0,0.000000,5210384,652505,1743830683.000000
2025-05-22,MIAX Pearl (P),965564,134851,206518208.000000,0,0,0.000000,965564,134851,206518208.000000
2025-05-22,NASDAQ Options Market (Q),2064801,294196,609277904.000000,0,0,0.000000,2064801,294196,609277904.000000
2025-05-22,MIAX Sapphire (S),1644605,239560,421337449.000000,0,0,0.000000,1644605,239560,421337449.000000
2025-05-22,Nasdaq BX Options (T),815525,90906,145434014.000000,0,0,0.000000,815525,90906,145434014.000000
